generation,best,average,worst
0,340300,356058.63,370208
1,337036,351276.02,367739
2,337036,348200.56,365781
3,331112,345102.13,360332
4,331112,343557.09,357004
5,330749,341462.88,361356
6,330749,339480.94,354434
7,330236,339061.03,356648
8,329720,335399.09,360742
9,329720,331585.67,342007
10,329720,331459.85,337525
11,329720,331412.53,339950
12,329532,330104.75,338325
13,329532,329706.73,329720
14,328410,330118.57,338833
15,328410,329934.84,335303
16,328302,329553.49,334752
17,328300,329568.58,336114
18,328206,329511.60,336027
19,328194,328711.71,336214
20,327896,328683.91,337283
21,327760,328694.70,333856
22,326708,329078.72,335474
23,326708,329119.57,340957
24,326708,328703.91,335748
25,326227,328815.68,338715
26,325781,327876.66,335374
27,325316,327838.59,339733
28,325316,327487.50,337113
29,325247,327758.41,336948
30,325046,327527.78,336829
31,325046,326055.67,337836
32,324939,325685.50,331783
33,324883,325326.02,330916
34,324883,325450.79,331742
35,324883,325317.32,331814
36,324883,325243.67,337433
37,324883,324884.11,324939
38,324883,324883.00,324883
39,324883,324886.05,325188
40,324477,324878.94,324883
41,324477,324872.27,326652
42,324477,324753.08,324883
43,324477,324543.95,324883
44,324477,324482.97,325074
45,324477,324497.29,326506
46,324477,324553.78,332155
47,324477,324477.00,324477
48,324477,324477.00,324477
49,324477,324477.00,324477
50,324477,324477.00,324477
51,324477,324477.00,324477
52,324007,324472.30,324477
53,324007,324497.80,329377
54,323981,324397.46,328995
55,323981,324351.53,329447
56,323981,324255.11,330280
57,323975,324113.41,329826
58,323975,324038.15,328210
59,323452,324050.56,327896
60,323452,323965.74,323981
61,323452,324043.00,328836
62,323452,323891.89,329051
63,323452,323757.78,329958
64,323452,323488.24,325378
65,323452,323468.33,325085
66,323452,323452.00,323452
67,323452,323467.89,325041
68,323452,323477.85,326037
69,323452,323484.22,326674
70,323452,323456.66,323918
71,323452,323506.62,327847
72,323452,323471.42,325394
73,323452,323462.85,324302
74,323452,323452.89,323541
75,323452,323480.27,326279
76,323452,323539.27,332179
77,323452,323470.06,325258
78,323452,323475.56,325808
79,323452,323452.00,323452
80,323452,323472.15,325241
81,323452,323452.00,323452
82,323452,323452.95,323547
83,323452,323473.56,325608
84,323452,323463.46,324598
85,323452,323452.00,323452
86,323452,323452.00,323452
87,323452,323458.12,324064
88,323452,323460.04,324256
89,323452,323526.55,328016
90,323452,323452.00,323452
91,323452,323457.47,323999
92,323452,323452.00,323452
93,323452,323473.05,325557
94,323369,323453.99,323734
95,323369,323448.68,323452
96,323369,323787.46,330701
97,323369,323689.76,329894
98,323369,323549.22,330476
99,323369,323369.00,323369
