generation,best,average,worst
0,14781,14781.00,14781
1,14738,14900.84,15204
2,14724,14911.48,15204
3,14724,14912.55,15204
4,14724,14907.45,15218
5,14724,14910.35,15238
6,14724,14911.02,15238
7,14724,14910.39,15238
8,14724,14910.29,15238
9,14724,14907.88,15238
10,14724,14907.01,15238
11,14724,14907.71,15238
12,14724,14905.32,15238
13,14724,14904.13,15238
14,14724,14904.43,15238
15,14724,14902.38,15238
16,14724,14902.32,15238
17,14724,14903.41,15238
18,14724,14902.38,15238
19,14724,14902.06,15238
20,14724,14903.65,15238
21,14724,14903.06,15238
22,14724,14903.46,15292
23,14724,14902.08,15292
24,14724,14902.72,15292
25,14724,14902.96,15292
26,14724,14903.17,15292
27,14724,14902.68,15292
28,14724,14903.26,15292
29,14724,14904.20,15292
30,14724,14903.46,15292
31,14724,14902.63,15292
32,14724,14902.59,15292
33,14724,14903.46,15292
34,14724,14902.70,15292
35,14724,14903.01,15292
36,14724,14903.36,15346
37,14724,14903.90,15346
38,14724,14904.12,15346
39,14724,14904.27,15346
40,14724,14904.17,15346
41,14724,14904.17,15346
