generation,best,average,worst
0,7676637,7799083.60,8014046
1,7680292,7802209.66,7946587
2,7675002,7803018.59,7934420
3,7699677,7809668.84,7981647
4,7657430,7797918.26,7977454
5,7685481,7798372.88,7931924
6,7688463,7804405.45,7982206
7,7667417,7792977.89,7934238
8,7682277,7795691.51,7989068
9,7637799,7800000.63,7971044
10,7616280,7804754.64,7995145
11,7694280,7798312.09,7950152
12,7701316,7799116.09,7970067
13,7695912,7799121.10,7956481
14,7689118,7811685.68,7980543
15,7682848,7795789.08,7953213
16,7682516,7794840.91,7988851
17,7650521,7812908.54,7964626
18,7637615,7805138.65,7983596
19,7649058,7798644.20,7915919
20,7701717,7803888.97,7942814
21,7702798,7804514.61,7968273
22,7639790,7801244.16,7995305
23,7679559,7799970.63,7926816
24,7679050,7798196.89,7904051
25,7671380,7790770.54,7906133
26,7668190,7799539.25,7960459
27,7648021,7792760.42,7936852
28,7681941,7796719.58,7925287
29,7648343,7800464.83,7943778
30,7686999,7806028.49,7981426
31,7680083,7802880.01,7995489
32,7686844,7799756.32,7943216
33,7685916,7809563.12,7957636
34,7669475,7802728.97,7984205
35,7681001,7814835.82,8039334
36,7690341,7803620.20,7977355
37,7670710,7804188.08,7934369
38,7692120,7801416.20,7944364
39,7656344,7793189.94,7966377
40,7653557,7805111.32,7940153
41,7694906,7807581.37,7958630
42,7665059,7804041.70,7946236
43,7664740,7806452.82,7955365
44,7666786,7806789.96,7960104
45,7695518,7802606.60,7961507
46,7658940,7797303.26,7945754
47,7695561,7812511.00,8043439
48,7684705,7801167.55,7991352
49,7684119,7800134.53,7940847
50,7678211,7792604.45,7926961
51,7691752,7796515.85,7982866
52,7686529,7797770.26,7983380
53,7715512,7804234.33,7967350
54,7666984,7800477.17,7954646
55,7697269,7809812.97,7960502
56,7662392,7813072.67,7937352
57,7663024,7811454.21,7960345
58,7706668,7801214.66,7939170
59,7647876,7785576.63,8006058
60,7678755,7787739.96,7903263
61,7672518,7799793.75,8027140
62,7652138,7800339.50,7909260
63,7690272,7808024.43,7964514
64,7671408,7796497.75,7929373
65,7670077,7803386.99,8060127
66,7679300,7805318.34,7994166
67,7644397,7810027.27,7985291
68,7690040,7806983.69,7958598
69,7688934,7818201.99,8011153
70,7691002,7814010.33,7958559
71,7691259,7801588.16,7929041
72,7667883,7796058.64,7934381
73,7648752,7795082.01,7900688
74,7662210,7819659.02,7945412
75,7686618,7799008.67,7981921
76,7677985,7796884.71,8001298
77,7664624,7799003.04,7929031
78,7657246,7800087.80,7940215
79,7650903,7792252.25,7951098
80,7697885,7799899.74,7902232
81,7668703,7793106.35,7991377
82,7668118,7805443.74,7947224
83,7689065,7798911.55,7951616
84,7680119,7798193.31,7939060
85,7716722,7811231.92,7970193
86,7669166,7797134.89,7916728
87,7647745,7796567.47,8029723
88,7630987,7795574.64,8012557
89,7664987,7790156.22,7919688
90,7654592,7796260.06,7938664
91,7653288,7799624.01,7922109
92,7684051,7806177.97,7947511
93,7679556,7807619.70,7998929
94,7670576,7808493.72,7971104
95,7678913,7797241.16,7953141
96,7628672,7796640.28,7954900
97,7665014,7805113.09,7978687
98,7680700,7807270.53,7961536
99,7665059,7803214.23,7949336
