generation,best,average,worst
0,16672,16672.00,16672
1,16028,16028.00,16028
2,15681,15681.00,15681
3,15515,15515.00,15515
4,15350,15350.00,15350
5,15201,15201.00,15201
6,15117,15117.00,15117
7,15103,15103.00,15103
8,15103,15106.00,15106
9,15103,15113.00,15113
10,15103,15112.00,15112
11,15103,15130.00,15130
12,15103,15111.00,15111
13,15081,15081.00,15081
14,15066,15066.00,15066
15,15040,15040.00,15040
16,15040,15045.00,15045
17,15040,15077.00,15077
18,15040,15082.00,15082
19,15040,15051.00,15051
20,15030,15030.00,15030
21,15014,15014.00,15014
22,15011,15011.00,15011
23,14993,14993.00,14993
24,14889,14889.00,14889
25,14873,14873.00,14873
26,14873,14874.00,14874
27,14870,14870.00,14870
28,14856,14856.00,14856
29,14856,14868.00,14868
30,14856,14886.00,14886
31,14856,14913.00,14913
32,14856,14887.00,14887
33,14809,14809.00,14809
34,14805,14805.00,14805
35,14804,14804.00,14804
36,14804,14804.00,14804
37,14804,14822.00,14822
38,14793,14793.00,14793
39,14774,14774.00,14774
40,14774,14790.00,14790
41,14774,14824.00,14824
42,14774,14830.00,14830
43,14774,14856.00,14856
44,14774,14862.00,14862
45,14774,14890.00,14890
46,14774,14900.00,14900
47,14774,14894.00,14894
48,14774,14878.00,14878
49,14774,14885.00,14885
50,14774,14852.00,14852
51,14774,14804.00,14804
