paramName,paramValue,instance,bestFitness,avgFitness,stdDev,avgTimeMs
mutationProb,0.01,tai20_5_0,15083,15322.20,150.26,36.495
mutationProb,0.05,tai20_5_0,14886,15030.10,93.17,34.444
mutationProb,0.1,tai20_5_0,14898,15008.50,94.21,27.497
mutationProb,0.2,tai20_5_0,14838,14993.10,124.60,27.012
mutationProb,0.4,tai20_5_0,14809,14947.10,75.20,32.571
crossoverProb,0.3,tai20_5_0,15227,15306.40,48.15,26.079
crossoverProb,0.5,tai20_5_0,15061,15252.40,91.80,23.166
crossoverProb,0.7,tai20_5_0,15083,15322.20,150.26,28.423
crossoverProb,0.9,tai20_5_0,15185,15283.50,83.08,27.995
crossoverProb,1,tai20_5_0,15153,15236.40,68.77,27.240
populationSize,20,tai20_5_0,15136,15316.00,122.77,25.056
populationSize,50,tai20_5_0,15141,15306.80,121.39,24.630
populationSize,100,tai20_5_0,15083,15322.20,150.26,24.514
populationSize,200,tai20_5_0,14956,15151.20,113.29,25.777
generations,20,tai20_5_0,14875,15088.80,121.33,34.100
generations,50,tai20_5_0,14956,15151.20,113.29,26.282
generations,100,tai20_5_0,15083,15322.20,150.26,22.456
generations,200,tai20_5_0,15141,15306.80,121.39,22.609
tournamentSize,2,tai20_5_0,15021,15242.00,122.35,31.859
tournamentSize,3,tai20_5_0,15028,15244.70,142.65,22.172
tournamentSize,5,tai20_5_0,15083,15322.20,150.26,23.147
tournamentSize,10,tai20_5_0,14969,15208.90,109.00,32.085
tournamentSize,20,tai20_5_0,15027,15240.80,156.67,33.642
tabuSize,3,tai20_5_0,14778,14952.40,104.10,18.695
tabuSize,5,tai20_5_0,14756,14906.30,86.54,16.768
tabuSize,7,tai20_5_0,14749,14896.90,94.75,17.023
tabuSize,10,tai20_5_0,14749,14893.80,88.17,22.622
tabuSize,15,tai20_5_0,14749,14893.30,80.85,15.281
tabuSize,20,tai20_5_0,14778,14872.90,54.60,16.305
perturbStrength,2,tai20_5_0,14724,14724.00,0.00,4057.613
perturbStrength,4,tai20_5_0,14724,14724.00,0.00,4857.264
perturbStrength,6,tai20_5_0,14724,14724.00,0.00,5801.610
perturbStrength,8,tai20_5_0,14724,14724.00,0.00,5925.558
perturbStrength,12,tai20_5_0,14724,14728.20,6.42,6269.569
ilsMaxIter,500,tai20_5_0,14724,14725.90,5.70,1308.041
ilsMaxIter,1000,tai20_5_0,14724,14724.00,0.00,2449.292
ilsMaxIter,2000,tai20_5_0,14724,14724.00,0.00,4846.563
ilsMaxIter,5000,tai20_5_0,14724,14724.00,0.00,11635.233
