instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai20_5_0,Greedy,0,16396,16396.00,16396,20,0.958,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,0,15736,0.00,19538,10000,56.631,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,1,15486,0.00,19488,10000,43.977,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,2,15522,0.00,19512,10000,37.304,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,3,15694,0.00,19810,10000,35.502,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,4,15698,0.00,19853,10000,40.532,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,5,15760,0.00,20050,10000,44.211,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,6,15499,0.00,19587,10000,32.516,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,7,15565,0.00,19702,10000,48.316,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,8,15750,0.00,19610,10000,37.078,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,9,15622,0.00,20036,10000,48.944,100,100,0.010,0.700,5,7
tai20_5_0,GA,0,15349,15349.00,15349,10000,52.512,100,100,0.010,0.700,5,7
tai20_5_0,GA,1,15602,15605.73,15975,10000,49.479,100,100,0.010,0.700,5,7
tai20_5_0,GA,2,15421,15422.00,15521,10000,52.810,100,100,0.010,0.700,5,7
tai20_5_0,GA,3,15360,15371.84,15995,10000,54.012,100,100,0.010,0.700,5,7
tai20_5_0,GA,4,15348,15351.83,15731,10000,49.015,100,100,0.010,0.700,5,7
tai20_5_0,GA,5,15159,15166.41,15662,10000,59.027,100,100,0.010,0.700,5,7
tai20_5_0,GA,6,15471,15476.74,16045,10000,50.471,100,100,0.010,0.700,5,7
tai20_5_0,GA,7,15083,15088.64,15635,10000,44.264,100,100,0.010,0.700,5,7
tai20_5_0,GA,8,15268,15337.33,16092,10000,44.773,100,100,0.010,0.700,5,7
tai20_5_0,GA,9,15161,15161.00,15161,10000,50.545,100,100,0.010,0.700,5,7
tai20_5_0,TS,0,14774,14774.00,14804,9880,31.467,100,100,0.010,0.700,5,7
tai20_5_0,TS,1,14845,14845.00,14856,9880,36.848,100,100,0.010,0.700,5,7
