generation,best,average,worst
0,340300,356058.63,370208
1,339091,352146.90,367069
2,339091,348979.49,364907
3,338751,346962.65,365225
4,338751,346059.43,365270
5,336963,345359.33,361923
6,336963,344035.30,364000
7,335234,342653.10,360283
8,333217,341257.04,357449
9,333217,338808.06,353392
10,330956,337202.59,351381
11,330956,336056.16,353902
12,330956,334676.62,345627
13,329361,334467.27,343495
14,329026,333415.46,345737
15,328882,331753.04,341558
16,327113,330718.31,338521
17,327113,329798.46,336654
18,327113,329579.64,338460
19,326701,329164.94,338319
20,325571,329054.71,339602
21,325568,328574.22,335473
22,325568,328092.47,337894
23,325523,327481.90,337593
24,325265,326655.87,337833
25,325154,326397.42,332833
26,325154,326784.69,334729
27,325012,327325.17,339877
28,324248,327257.62,334254
29,324248,327492.68,336354
30,324248,326531.64,336325
31,324248,327143.95,337579
32,323872,326074.55,340482
33,323872,325024.71,337678
34,323504,324307.55,330453
35,323504,324569.16,334461
36,323048,324503.14,334461
37,322414,325165.73,331570
38,322414,324182.95,333398
39,321869,324213.80,333649
40,321691,323392.76,329741
41,321691,323680.46,334084
42,321691,324011.81,333162
43,321691,324134.79,334434
44,321691,323513.98,333610
45,321305,323112.83,334130
46,321305,322327.59,329805
47,321305,322542.47,334046
48,321290,322894.87,332018
49,321200,322498.70,331633
50,321072,321962.92,332778
51,321072,321963.16,329477
52,320992,322294.97,328518
53,320992,322652.45,330541
54,320579,322759.10,332812
55,320451,323134.34,333392
56,320328,323111.27,331694
57,319248,322320.17,335250
58,319248,322257.24,332399
59,319248,322133.94,328932
60,319248,321413.30,331972
61,319248,320034.33,329046
62,319248,319787.99,327086
63,318842,319399.38,324482
64,318842,319749.79,325848
65,318634,320114.41,331202
66,318599,319322.28,328571
67,318515,319406.31,330320
68,318178,319570.68,325194
69,318178,319992.94,329950
70,318051,320200.94,326914
71,317737,319442.12,329609
72,317341,319104.37,324906
73,317341,319009.88,326492
74,316956,319439.42,329588
75,316956,319749.82,331699
76,316421,319293.90,328846
77,316246,318911.17,332276
78,316191,318671.15,325429
79,316103,318445.52,326112
80,316103,318737.23,327449
81,315920,318180.30,329042
82,315920,318379.82,326039
83,314204,318299.43,328775
84,314204,317664.71,327578
85,314204,317406.17,327263
86,313848,317700.06,328249
87,313420,317700.06,332223
88,313420,316548.69,328958
89,313385,316744.13,328958
90,313385,316443.63,331256
91,313385,315354.12,330157
92,313385,314147.97,321918
93,313310,314024.45,322635
94,313294,313853.61,319909
95,313294,314270.98,321449
96,313157,314216.53,323393
97,312816,314909.52,324361
98,312816,314982.86,325471
99,312816,314693.99,322996
