generation,best,average,worst
0,22096,23880.25,25302
1,22272,23850.93,25959
2,21945,23803.03,25824
3,21739,23923.02,25576
4,21722,23833.06,25900
5,22206,23888.03,26062
6,21572,23764.21,25611
7,21986,23823.85,25221
8,21870,23788.19,26152
9,21866,23858.27,25458
10,21311,23780.87,25473
11,22076,23800.97,25790
12,21908,23770.07,25791
13,21580,23767.59,25359
14,21825,23955.42,25775
15,21967,23756.57,26617
16,22260,23870.19,25527
17,22047,23884.41,26225
18,21973,23858.42,26259
19,21654,23895.87,25321
20,22158,23843.13,25814
21,22388,23865.20,25501
22,22138,23797.64,25314
23,22063,23742.77,25556
24,22289,23854.74,25457
25,22258,23857.99,25878
26,21877,23790.70,25689
27,22062,23785.05,25441
28,21850,23896.68,25969
29,21726,23797.55,25393
30,21946,23844.35,25975
31,22116,23937.48,26063
32,22227,23786.85,25207
33,21684,23695.53,25290
34,21902,23857.54,25854
35,22357,23884.95,25506
36,21685,23824.85,26056
37,22272,23701.00,25709
38,21873,23764.01,25858
39,21925,23882.20,26077
40,21836,23777.30,25566
41,21720,23802.35,25681
42,22052,23804.14,25910
43,22130,23924.20,26010
44,22225,23754.72,25517
45,21396,23773.41,25162
46,21971,23802.44,26504
47,22011,23746.41,25682
48,21874,23772.23,25776
49,21570,23791.31,25729
50,21817,23930.50,25498
51,22210,23919.31,26160
52,22126,23774.69,25161
53,21241,23808.57,25920
54,21932,23815.42,25773
55,22016,23758.62,25423
56,21664,23618.41,25691
57,22015,23839.29,25652
58,22302,23943.62,26244
59,21841,23863.37,26039
60,22133,23834.62,25921
61,21246,23781.59,25811
62,21828,23792.41,25800
63,21968,23877.61,25856
64,21654,23986.22,26228
65,21716,23806.89,25737
66,22205,23924.43,25529
67,21827,23805.15,25817
68,22091,23837.85,25520
69,22261,23918.88,25663
70,22021,23897.39,25701
71,21885,23989.25,25602
72,22101,23805.78,25328
73,21896,23871.78,25617
74,22320,23949.56,25741
75,22241,23893.77,26184
76,22126,23868.44,25366
77,21831,23686.28,26005
78,22123,23762.02,25712
79,21886,23906.37,26145
80,21981,23960.68,25596
81,21851,23825.08,25495
82,21756,23699.39,25271
83,21973,23784.88,25638
84,22215,23790.13,25366
85,21082,23781.00,25623
86,22081,23785.81,25588
87,22060,23876.25,26246
88,22001,23831.89,25970
89,22233,23878.43,25805
90,21884,23764.20,25559
91,21750,23816.83,25679
92,22206,23843.98,25304
93,21377,23913.49,26015
94,21954,23812.02,26343
95,22252,23950.33,25492
96,21955,23860.93,25514
97,22107,23971.54,26122
98,22204,23868.41,26131
99,22148,23942.13,25656
