generation,best,average,worst
0,22494,22494.00,22494
1,21919,21919.00,21919
2,21465,21465.00,21465
3,20939,20939.00,20939
4,20787,20787.00,20787
5,20715,20715.00,20715
6,20649,20649.00,20649
7,20591,20591.00,20591
8,20536,20536.00,20536
9,20536,20538.00,20538
10,20534,20534.00,20534
11,20534,20544.00,20544
12,20534,20542.00,20542
13,20534,20546.00,20546
14,20494,20494.00,20494
15,20479,20479.00,20479
16,20479,20479.00,20479
17,20479,20480.00,20480
18,20479,20511.00,20511
19,20479,20524.00,20524
20,20479,20509.00,20509
21,20479,20530.00,20530
22,20479,20556.00,20556
23,20479,20534.00,20534
24,20479,20542.00,20542
25,20479,20536.00,20536
26,20479,20529.00,20529
27,20474,20474.00,20474
28,20443,20443.00,20443
29,20443,20483.00,20483
30,20443,20470.00,20470
31,20443,20496.00,20496
32,20443,20475.00,20475
33,20443,20506.00,20506
34,20443,20507.00,20507
35,20443,20534.00,20534
36,20443,20523.00,20523
37,20443,20560.00,20560
38,20443,20558.00,20558
39,20376,20376.00,20376
40,20345,20345.00,20345
41,20274,20274.00,20274
42,20229,20229.00,20229
43,20212,20212.00,20212
44,20204,20204.00,20204
45,20204,20212.00,20212
46,20204,20236.00,20236
47,20204,20208.00,20208
48,20204,20231.00,20231
49,20204,20257.00,20257
50,20204,20236.00,20236
51,20204,20219.00,20219
