paramName,paramValue,instance,bestFitness,avgFitness,stdDev,avgTimeMs
mutationProb,0.01,tai20_5_0,14913,15011.70,60.09,103.062
mutationProb,0.05,tai20_5_0,14913,15011.70,60.09,100.298
mutationProb,0.1,tai20_5_0,14913,15011.70,60.09,98.922
mutationProb,0.2,tai20_5_0,14913,15011.70,60.09,99.349
mutationProb,0.4,tai20_5_0,14913,15011.70,60.09,99.417
crossoverProb,0.3,tai20_5_0,14913,15011.70,60.09,99.630
crossoverProb,0.5,tai20_5_0,14913,15011.70,60.09,99.115
crossoverProb,0.7,tai20_5_0,14913,15011.70,60.09,99.463
crossoverProb,0.9,tai20_5_0,14913,15011.70,60.09,99.263
crossoverProb,1,tai20_5_0,14913,15011.70,60.09,99.367
populationSize,20,tai20_5_0,14861,15013.20,91.91,92.091
populationSize,50,tai20_5_0,14888,15027.40,103.19,96.644
populationSize,100,tai20_5_0,14913,15011.70,60.09,99.378
populationSize,200,tai20_5_0,14802,14960.10,101.29,102.315
generations,20,tai20_5_0,14944,15084.40,72.48,108.732
generations,50,tai20_5_0,14802,14960.10,101.29,102.795
generations,100,tai20_5_0,14913,15011.70,60.09,99.897
generations,200,tai20_5_0,14888,15027.40,103.19,96.525
tournamentSize,2,tai20_5_0,15109,15353.00,115.67,97.389
tournamentSize,3,tai20_5_0,14837,14966.40,93.81,96.855
tournamentSize,5,tai20_5_0,14913,15011.70,60.09,99.203
tournamentSize,10,tai20_5_0,14816,14974.20,138.42,108.569
tournamentSize,20,tai20_5_0,14868,14968.90,69.80,116.840
