instance,method,best,avgBest,std,avgTime,evals
tai100_10_0,GA,320336,324276.1,1983.7,71.3,10000
tai100_10_0,Greedy,353608,353608.0,0.0,15.9,100
tai100_10_0,RandomSearch,333303,335709.7,1200.6,85.1,10000
tai100_10_0,TS,337321,343303.9,5484.3,61.1,9900
tai100_20_0,GA,399946,405987.5,3094.6,183.4,10000
tai100_20_0,Greedy,433184,433184.0,0.0,25.1,100
tai100_20_0,RandomSearch,412102,415427.2,1778.0,179.5,10000
tai100_20_0,TS,412883,420518.5,4718.1,183.6,9900
tai20_10_0,GA,20364,20635.2,148.8,27.5,10000
tai20_10_0,Greedy,21882,21882.0,0.0,1.0,20
tai20_10_0,RandomSearch,21074,21206.0,82.5,27.2,10000
tai20_10_0,TS,19899,20137.5,193.9,23.4,9880
tai20_20_0,GA,32483,32797.2,182.4,49.5,10000
tai20_20_0,Greedy,34099,34099.0,0.0,1.0,20
tai20_20_0,RandomSearch,33091,33360.6,171.5,50.7,10000
tai20_20_0,TS,32163,32320.6,128.5,46.2,9880
tai20_5_0,GA,15083,15322.2,158.4,18.2,10000
tai20_5_0,Greedy,16396,16396.0,0.0,0.7,20
tai20_5_0,RandomSearch,15486,15633.2,108.0,16.4,10000
tai20_5_0,TS,14749,14896.9,99.9,13.3,9880
tai500_20_0,GA,7463269,7500247.9,24761.1,685.2,10000
tai500_20_0,Greedy,8104301,8104301.0,0.0,2550.5,500
tai500_20_0,RandomSearch,7598570,7613319.9,12274.3,686.6,10000
tai500_20_0,TS,7677330,7763565.9,47064.1,7736.1,124750
