instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai20_5_0,Greedy,0,16396,16396.00,16396,20,0.999,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,0,15736,0.00,19538,10000,80.290,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,1,15486,0.00,19488,10000,79.151,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,2,15522,0.00,19512,10000,77.312,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,3,15694,0.00,19810,10000,78.692,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,4,15698,0.00,19853,10000,77.090,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,5,15760,0.00,20050,10000,78.516,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,6,15499,0.00,19587,10000,82.593,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,7,15565,0.00,19702,10000,80.326,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,8,15750,0.00,19610,10000,76.998,100,100,0.010,0.700,5,7
tai20_5_0,RandomSearch,9,15622,0.00,20036,10000,77.328,100,100,0.010,0.700,5,7
tai20_5_0,GA,0,15080,15165.95,16423,10000,100.420,100,100,0.010,0.700,5,7
tai20_5_0,GA,1,15020,15100.95,16088,10000,98.489,100,100,0.010,0.700,5,7
tai20_5_0,GA,2,14983,15070.58,15878,10000,127.723,100,100,0.010,0.700,5,7
tai20_5_0,GA,3,14913,15072.96,16285,10000,107.675,100,100,0.010,0.700,5,7
tai20_5_0,GA,4,15046,15122.44,15956,10000,100.336,100,100,0.010,0.700,5,7
tai20_5_0,GA,5,15103,15190.64,16306,10000,102.331,100,100,0.010,0.700,5,7
tai20_5_0,GA,6,15026,15113.50,16064,10000,99.652,100,100,0.010,0.700,5,7
tai20_5_0,GA,7,15057,15123.42,16249,10000,102.411,100,100,0.010,0.700,5,7
tai20_5_0,GA,8,14943,14993.11,15711,10000,103.467,100,100,0.010,0.700,5,7
tai20_5_0,GA,9,14946,15011.05,16136,10000,99.304,100,100,0.010,0.700,5,7
tai20_5_0,TS,0,14976,14976.00,15043,9880,66.824,100,100,0.010,0.700,5,7
tai20_5_0,TS,1,14797,14797.00,14848,9880,67.884,100,100,0.010,0.700,5,7
tai20_5_0,TS,2,14860,14860.00,14946,9880,67.232,100,100,0.010,0.700,5,7
tai20_5_0,TS,3,14914,14914.00,14996,9880,70.355,100,100,0.010,0.700,5,7
tai20_5_0,TS,4,14983,14983.00,15037,9880,69.020,100,100,0.010,0.700,5,7
tai20_5_0,TS,5,14824,14824.00,14957,9880,68.271,100,100,0.010,0.700,5,7
tai20_5_0,TS,6,14911,14911.00,14979,9880,68.059,100,100,0.010,0.700,5,7
tai20_5_0,TS,7,14874,14874.00,14953,9880,66.782,100,100,0.010,0.700,5,7
tai20_5_0,TS,8,14964,14964.00,15070,9880,68.516,100,100,0.010,0.700,5,7
tai20_5_0,TS,9,14833,14833.00,14864,9880,67.902,100,100,0.010,0.700,5,7
tai20_10_0,Greedy,0,21882,21882.00,21882,20,1.995,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,0,21082,0.00,26617,10000,135.588,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,1,21238,0.00,26610,10000,134.866,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,2,21074,0.00,26498,10000,135.958,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,3,21252,0.00,26436,10000,145.849,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,4,21349,0.00,26507,10000,148.009,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,5,21212,0.00,26577,10000,149.080,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,6,21195,0.00,26542,10000,139.796,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,7,21201,0.00,26645,10000,139.199,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,8,21186,0.00,26949,10000,150.268,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,9,21271,0.00,26569,10000,158.772,100,100,0.010,0.700,5,7
tai20_10_0,GA,0,20166,20330.97,22899,10000,186.810,100,100,0.010,0.700,5,7
tai20_10_0,GA,1,20124,20295.85,21673,10000,163.755,100,100,0.010,0.700,5,7
tai20_10_0,GA,2,20410,20531.29,21965,10000,163.298,100,100,0.010,0.700,5,7
tai20_10_0,GA,3,20370,20561.54,22428,10000,166.607,100,100,0.010,0.700,5,7
tai20_10_0,GA,4,20337,20535.03,22458,10000,168.345,100,100,0.010,0.700,5,7
tai20_10_0,GA,5,20095,20225.50,21763,10000,156.727,100,100,0.010,0.700,5,7
tai20_10_0,GA,6,20085,20257.17,23304,10000,164.140,100,100,0.010,0.700,5,7
tai20_10_0,GA,7,20158,20296.23,22687,10000,157.818,100,100,0.010,0.700,5,7
tai20_10_0,GA,8,20134,20247.26,21812,10000,165.802,100,100,0.010,0.700,5,7
tai20_10_0,GA,9,20058,20153.97,21753,10000,158.677,100,100,0.010,0.700,5,7
tai20_10_0,TS,0,20204,20204.00,20219,9880,123.814,100,100,0.010,0.700,5,7
tai20_10_0,TS,1,20128,20128.00,20196,9880,124.568,100,100,0.010,0.700,5,7
tai20_10_0,TS,2,20299,20299.00,20308,9880,126.928,100,100,0.010,0.700,5,7
tai20_10_0,TS,3,20075,20075.00,20075,9880,131.520,100,100,0.010,0.700,5,7
tai20_10_0,TS,4,20027,20027.00,20037,9880,124.516,100,100,0.010,0.700,5,7
tai20_10_0,TS,5,19997,19997.00,20084,9880,125.807,100,100,0.010,0.700,5,7
tai20_10_0,TS,6,19947,19947.00,20010,9880,126.264,100,100,0.010,0.700,5,7
tai20_10_0,TS,7,20044,20044.00,20044,9880,124.442,100,100,0.010,0.700,5,7
tai20_10_0,TS,8,20139,20139.00,20139,9880,125.528,100,100,0.010,0.700,5,7
tai20_10_0,TS,9,20411,20411.00,20471,9880,125.621,100,100,0.010,0.700,5,7
tai20_20_0,Greedy,0,34099,34099.00,34099,20,2.026,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,0,33491,0.00,39156,10000,255.631,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,1,33177,0.00,39200,10000,250.320,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,2,33357,0.00,39346,10000,250.016,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,3,33591,0.00,39341,10000,255.132,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,4,33411,0.00,39023,10000,245.095,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,5,33091,0.00,39166,10000,253.019,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,6,33294,0.00,39266,10000,250.314,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,7,33610,0.00,39432,10000,257.375,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,8,33223,0.00,39144,10000,282.702,100,100,0.010,0.700,5,7
tai20_20_0,RandomSearch,9,33361,0.00,39093,10000,254.963,100,100,0.010,0.700,5,7
tai20_20_0,GA,0,32205,32396.98,34624,10000,310.277,100,100,0.010,0.700,5,7
tai20_20_0,GA,1,32711,32853.15,34470,10000,272.741,100,100,0.010,0.700,5,7
tai20_20_0,GA,2,32734,32927.12,36809,10000,277.820,100,100,0.010,0.700,5,7
tai20_20_0,GA,3,32407,32546.34,33774,10000,285.461,100,100,0.010,0.700,5,7
tai20_20_0,GA,4,32336,32437.41,34289,10000,279.076,100,100,0.010,0.700,5,7
tai20_20_0,GA,5,32999,33086.75,34701,10000,285.402,100,100,0.010,0.700,5,7
tai20_20_0,GA,6,32331,32571.52,35353,10000,280.582,100,100,0.010,0.700,5,7
tai20_20_0,GA,7,32473,32606.59,36371,10000,277.824,100,100,0.010,0.700,5,7
